bench_name,model_name,temperature,max_feedback_cycles,seed,loop,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-4o-mini,1.0,3,0,True,True,4,4,7930,7552,1458,0.00469725
001,gpt-4o-mini,1.0,3,1,True,True,2,2,4132,3968,749,0.0024615749999999997
001,gpt-4o-mini,1.0,3,2,True,True,1,1,1871,1792,253,0.001106025
001,gpt-4o,1.0,3,0,True,True,1,1,1871,1792,409,0.01862875
001,gpt-4o,1.0,3,1,True,True,1,1,1871,1792,440,0.018667499999999997
001,gpt-4o,1.0,3,2,True,True,1,1,1871,1792,400,0.0186175
002,gpt-4o-mini,1.0,3,0,True,True,1,1,1871,1792,390,0.0011163
002,gpt-4o-mini,1.0,3,1,True,True,1,1,1871,1792,437,0.001119825
002,gpt-4o-mini,1.0,3,2,True,True,1,1,1871,1792,590,0.0011313
002,gpt-4o,1.0,3,0,True,True,1,1,1871,1792,353,0.01855875
002,gpt-4o,1.0,3,1,True,True,2,2,3742,3584,771,0.037198749999999996
002,gpt-4o,1.0,3,2,True,True,1,1,1871,1792,423,0.01864625
003,gpt-4o-mini,1.0,3,0,True,True,1,1,1870,1792,300,0.0011093999999999998
003,gpt-4o-mini,1.0,3,1,True,True,1,1,1870,1792,266,0.0011068499999999997
003,gpt-4o-mini,1.0,3,2,True,True,1,1,1870,1792,508,0.0011249999999999997
003,gpt-4o,1.0,3,0,True,True,2,2,3740,3456,831,0.03630875
003,gpt-4o,1.0,3,1,True,True,1,1,1870,1792,309,0.01850125
003,gpt-4o,1.0,3,2,True,True,1,1,1870,1792,386,0.0185975
004,gpt-4o-mini,1.0,3,0,True,True,1,1,1869,1792,406,0.0011171999999999998
004,gpt-4o-mini,1.0,3,1,True,True,1,1,1869,1792,322,0.0011108999999999997
004,gpt-4o-mini,1.0,3,2,True,True,1,1,1869,1792,379,0.001115175
004,gpt-4o,1.0,3,0,True,True,1,1,1869,1792,621,0.01888875
004,gpt-4o,1.0,3,1,True,True,1,1,1869,1792,447,0.01867125
004,gpt-4o,1.0,3,2,True,True,1,1,1869,1792,394,0.018605
005,gpt-4o-mini,1.0,3,0,True,True,1,1,1293,0,324,0.00021825
005,gpt-4o-mini,1.0,3,1,True,True,1,1,1293,1152,283,0.0007335750000000001
005,gpt-4o-mini,1.0,3,2,True,True,1,1,1293,1152,343,0.000738075
005,gpt-4o,1.0,3,0,True,True,1,1,1293,0,556,0.0039275
005,gpt-4o,1.0,3,1,True,True,1,1,1293,1280,596,0.013577499999999998
005,gpt-4o,1.0,3,2,True,True,1,1,1293,1280,298,0.013204999999999998
006,gpt-4o-mini,1.0,3,0,True,True,1,1,1871,1792,301,0.001109625
006,gpt-4o-mini,1.0,3,1,True,True,1,1,1871,1792,300,0.00110955
006,gpt-4o-mini,1.0,3,2,True,True,1,1,1871,1792,382,0.0011157
006,gpt-4o,1.0,3,0,True,True,1,1,1871,0,398,0.005174999999999999
006,gpt-4o,1.0,3,1,True,True,1,1,1871,1792,708,0.0190025
006,gpt-4o,1.0,3,2,True,True,2,2,4250,4096,1008,0.042605
007,gpt-4o-mini,1.0,3,0,True,True,2,2,3742,3584,550,0.00221535
007,gpt-4o-mini,1.0,3,1,True,True,2,2,4116,3968,819,0.0024644249999999997
007,gpt-4o-mini,1.0,3,2,True,True,1,1,1871,1792,255,0.001106175
007,gpt-4o,1.0,3,0,True,True,1,1,1871,1792,313,0.018508749999999997
007,gpt-4o,1.0,3,1,True,True,2,2,4169,3584,778,0.03827499999999999
007,gpt-4o,1.0,3,2,True,True,1,1,1871,1792,450,0.01868
008,gpt-4o-mini,1.0,3,0,True,True,1,1,1871,1792,137,0.001097325
008,gpt-4o-mini,1.0,3,1,True,True,1,1,1871,1792,332,0.00111195
008,gpt-4o-mini,1.0,3,2,True,True,1,1,1871,1792,269,0.001107225
008,gpt-4o,1.0,3,0,True,True,3,3,6039,5760,1106,0.05968
008,gpt-4o,1.0,3,1,True,True,2,2,4159,3968,657,0.040978749999999994
008,gpt-4o,1.0,3,2,True,True,2,2,4187,3968,868,0.041312499999999995
009,gpt-4o-mini,1.0,3,0,True,True,1,1,1871,1792,227,0.001104075
009,gpt-4o-mini,1.0,3,1,True,True,2,2,3742,3584,694,0.0022261499999999997
009,gpt-4o-mini,1.0,3,2,True,True,2,2,3937,3712,354,0.0022875
009,gpt-4o,1.0,3,0,True,True,1,1,1871,1792,468,0.018702499999999997
009,gpt-4o,1.0,3,1,True,True,1,1,1871,1792,499,0.018741249999999997
009,gpt-4o,1.0,3,2,True,True,1,1,1871,1792,344,0.018547499999999998
010,gpt-4o-mini,1.0,3,0,True,True,1,1,1872,1792,137,0.0010974749999999999
010,gpt-4o-mini,1.0,3,1,True,True,2,2,4136,3968,577,0.002449275
010,gpt-4o-mini,1.0,3,2,True,True,1,1,1872,1792,562,0.0011293499999999999
010,gpt-4o,1.0,3,0,True,True,1,1,1872,1792,413,0.018636249999999997
010,gpt-4o,1.0,3,1,True,True,1,1,1872,1792,573,0.01883625
010,gpt-4o,1.0,3,2,True,True,1,1,1872,1792,401,0.01862125
